playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Scrambling(Missed GIR),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,Winner_dummy
10381,Curtis Thompson,United States,-0.852,-36.653,-0.849,44,-1.289,-22.201,-13.166,-0.019,-0.849,309.2,59.06,425,1.609,420259.0,71.09,63.11,0,12537,338509.0,1,53.11,30.0,Louisiana State University,0
33490,Bo Hoag,United States,-0.866,-27.522,-4.53,37,-8.755,-11.321,-7.453,-0.122,-4.53,294.9,54.75,305,1.637,1753112.0,71.37,65.42,0,10754,215072.0,0,60.08,35.0,Ohio State University,0
27974,Sung Kang,South Korea,-0.879,-62.757,8.252,62,-23.905,-30.284,-8.584,0.133,8.252,293.9,57.06,489,1.62,10188018.0,70.98,66.04,0,11593,359397.0,0,61.37,36.0,Yonsei University,0
28114,Dawie van der Walt,South Africa,-0.88,-31.354,-10.885,48,-1.447,-11.5,-18.413,-0.227,-10.885,298.2,53.71,404,1.629,583479.0,71.55,63.8,0,7399,184972.0,0,60.0,40.0,Lamar University,0
35617,Martin Trainer,France,-0.885,-87.132,32.264,62,-21.101,-58.174,-7.86,0.52,32.264,305.5,56.45,512,1.603,1568906.0,71.17,63.53,0,23451,726985.0,2,53.41,32.0,University of Southern California,0
27095,Nick Watney,United States,-0.914,-45.133,-11.556,62,-34.292,8.14,-18.985,-0.186,-11.556,301.2,54.41,454,1.661,28989967.0,71.71,66.81,0,33752,1012572.0,1,53.93,42.0,Fresno State University,0
39436,Joshua Creel,United States,-0.966,-33.011,-2.73,37,-6.02,-15.131,-11.865,-0.074,-2.73,284.6,57.91,335,1.61,128934.0,71.79,60.4,0,5272,115976.0,0,64.58,,outside the US,0
54421,Garrick Higgo,South Africa,-0.98,-25.712,-11.509,38,-4.853,-5.895,-14.98,-0.303,-11.509,305.0,45.77,378,1.654,2045761.0,72.03,63.79,0,30332,667305.0,1,59.45,24.0,University of Nevada-Las Vegas,0
31557,Jim Herman,United States,-0.991,-22.812,-19.781,43,-1.514,-11.143,-10.155,-0.46,-19.781,291.8,56.57,297,1.659,8238530.0,71.14,67.65,0,10637,202105.0,1,67.62,45.0,University of Cincinnati,0
46550,Brandon Hagy,United States,-1.046,-44.982,-17.785,60,4.752,-32.32,-17.417,-0.296,-17.785,317.9,53.23,526,1.621,3259000.0,71.44,62.54,0,8431,261376.0,0,49.06,32.0,University of California-Berkeley,0
25686,Jason Dufner,United States,-1.087,-15.058,-27.325,39,-11.194,-3.309,-0.562,-0.701,-27.325,292.1,54.8,323,1.646,27782234.0,71.78,64.11,0,5372,118175.0,0,58.85,46.0,Auburn University,0
47128,Richy Werenski,United States,-1.09,-68.274,12.661,51,-35.144,-26.155,-6.978,0.248,12.661,294.9,53.79,422,1.606,6081292.0,71.57,62.79,0,13646,354791.0,0,56.83,31.0,Georgia Tech,0
48084,Wesley Bryan,United States,-1.125,-44.503,0.629,39,-61.38,6.295,10.575,0.016,0.629,297.2,60.17,344,1.57,3886522.0,71.37,61.0,0,11293,214572.0,0,50.88,33.0,University of South Carolina,0
35110,Brett Drewitt,Australia,-1.364,-43.614,-13.671,42,-30.5,-20.262,7.141,-0.325,-13.671,295.9,55.83,369,1.63,352495.0,71.53,64.66,0,5274,121307.0,0,57.37,32.0,outside the US,0
27895,Jonas Blixt,Sweden,-1.374,-67.637,9.928,42,-0.229,-56.764,-10.645,0.236,9.928,296.6,53.91,371,1.574,10259042.0,72.02,58.78,0,6432,135079.0,0,59.3,39.0,Florida State University,0
