playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Scrambling(Missed GIR),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,Winner_dummy
49947,Taylor Moore,United States,0.123,11.693,-2.116,78,18.948,-15.312,8.052,-0.027,-2.116,302.0,58.75,480,1.613,1761099.0,70.2,68.25,0,62544,1751237.0,4,61.63,30.0,University of Arkansas,0
46340,Alex Smalley,United States,0.12,26.437,-17.462,75,15.505,19.522,-8.594,-0.233,-17.462,306.5,60.45,531,1.625,1782920.0,70.12,68.28,0,54386,1631567.0,3,59.19,26.0,Duke University,0
47988,Nick Hardy,United States,0.115,-2.672,7.855,45,17.392,-6.044,-14.023,0.175,7.855,305.7,54.82,332,1.625,1012551.0,70.34,68.74,0,39082,820728.0,1,57.78,27.0,University of Illinois,0
36799,Stephan Jaeger,Germany,0.107,5.828,1.992,73,-36.929,12.934,29.816,0.027,1.992,293.0,60.11,559,1.587,2451698.0,70.45,63.46,0,41597,1289503.0,2,57.47,34.0,University of Tennessee-Chattanooga,0
34466,Peter Malnati,United States,0.08,-10.798,17.759,87,-23.283,-2.038,14.519,0.204,17.759,297.1,58.91,662,1.569,6492491.0,70.38,64.29,0,41555,1288197.0,2,56.59,36.0,University of Missouri,0
35461,Beau Hossler,United States,0.071,-41.974,46.599,65,-7.855,-43.294,9.154,0.717,46.599,309.3,58.7,460,1.58,6207446.0,71.06,63.49,0,74627,1716430.0,2,53.01,28.0,University of Texas,0
49766,Hank Lebioda,United States,0.061,-9.13,13.267,68,-15.947,5.801,1.013,0.195,13.267,294.2,61.01,495,1.61,2969056.0,70.53,65.63,0,20310,588984.0,0,61.2,29.0,Florida State University,0
23983,Luke Donald,England,0.056,-3.722,6.634,52,-43.705,23.454,16.526,0.128,6.634,286.5,59.76,420,1.595,37206401.0,70.46,65.17,0,18638,410042.0,0,56.16,45.0,Northwestern University,0
25198,Francesco Molinari,Italy,0.053,-2.915,5.052,40,-10.694,-5.689,13.453,0.126,5.052,295.4,57.31,349,1.596,17599907.0,71.02,63.42,0,48027,816460.0,1,59.11,40.0,University of Torino,0
34431,Robert Streb,United States,0.047,4.838,-1.403,73,2.678,-3.038,5.181,-0.019,-1.403,300.4,61.35,533,1.602,12849089.0,70.41,64.32,0,37336,1120076.0,3,59.73,36.0,Kansas State University,0
32816,Satoshi Kodaira,Japan,0.046,2.734,-0.851,41,6.535,4.833,-8.642,-0.021,-0.851,286.5,57.76,303,1.614,3177678.0,70.25,66.99,0,26116,443970.0,0,73.42,33.0,outside the US,0
25818,Scott Piercy,United States,0.012,-0.925,1.731,67,1.491,-14.531,12.112,0.026,1.731,295.8,59.85,518,1.571,22565246.0,70.51,62.63,0,36813,1030752.0,1,56.63,44.0,San Diego State University,0
