playerId,playerName,country,SG: Total(Avg),SG: Total(Total SG:T2G),SG: Total(Total SG:P),SG: Total(Measured Rounds),SG: Off-the-Tee(Total SG:OTT),SG: Approach the Green(Total SG:APP),SG: Around-the-Green(Total SG:ARG),SG: Putting(Avg),SG: Putting(Total SG:Putting),Driving Distance(Avg),Scrambling(%),Overall Putting Average(Avg),Career Earnings(Money),Scoring Average (Actual)(Avg),Greens in Regulation Percentage(%),Victory Leaders(Victories),Money per Event Leaders(Money per event),Money per Event Leaders(Total money),Top 10 Finishes(Top 10),Hit Fairway Percentage(%),age,education,turnedPro,Winner_dummy
55454,Carl Yuan,China,-0.5,-17.031,-9.969,54,8.979,-3.919,-12.585,-0.185,-9.969,307.9,54.59,1.621,516444.0,70.89,65.86,0,21519,516444,0,54.14,26,University of Washington,2018,0
30692,Scott Stallings,United States,-0.516,-4.334,-24.579,56,1.492,-15.074,8.174,-0.439,-24.579,300.8,59.39,1.64,17878610.0,71.1,64.66,0,47587,1189670,0,55.6,38,Tennessee Tech,2007,0
24925,Jonathan Byrd,United States,-0.52,-9.399,-7.251,32,-10.724,-18.152,16.805,-0.227,-7.251,290.3,66.35,1.594,20364341.0,70.54,65.33,0,16949,322026,0,60.54,45,Clemson University,2000,0
46601,Trey Mullinax,United States,-0.547,-15.578,-20.0,65,-2.648,-0.163,-5.435,-0.308,-20.0,311.8,56.77,1.618,6128804.0,71.58,63.12,0,54367,1413549,2,50.85,31,University of Alabama,2014,0
34409,David Lingmerth,Sweden,-0.581,-36.646,2.961,58,-30.993,-1.042,-3.9,0.051,2.961,278.4,58.83,1.574,11419631.0,71.13,61.11,0,78597,2200702,5,65.84,36,University of Arkansas,2010,0
25686,Jason Dufner,United States,-0.647,6.483,-44.027,58,-3.539,10.817,6.686,-0.759,-44.027,299.5,56.64,1.646,28167354.0,71.21,67.35,0,14264,385119,0,56.11,46,Auburn University,2000,0
47128,Richy Werenski,United States,-0.672,-60.502,19.485,61,-6.963,-45.884,-5.103,0.319,19.485,299.4,57.09,1.574,6627685.0,71.15,61.32,0,17626,546393,0,58.62,31,Georgia Tech,2014,0
29289,S.Y. Noh,South Korea,-0.694,-44.888,16.429,41,-19.373,-17.239,-4.205,0.401,16.429,304.7,57.71,1.61,7757381.0,70.58,67.04,0,23980,455617,0,54.09,32,Korea University,2008,0
32640,Troy Merritt,United States,-0.696,-2.824,-36.842,57,-11.704,-3.386,7.651,-0.646,-36.842,292.8,60.13,1.613,13811769.0,71.07,62.78,0,27686,775200,1,62.74,37,Boise State University,2008,0
36724,Augusto Núñez,Argentina,-0.71,-11.056,-25.17,51,-1.684,-12.373,-1.402,-0.494,-25.17,310.5,61.52,1.657,375058.0,70.93,68.08,0,14176,368578,0,55.43,30,outside the US,2012,0
34431,Robert Streb,United States,-0.724,-14.122,-22.793,51,-4.394,-17.819,4.144,-0.447,-22.793,297.8,60.25,1.611,13181109.0,70.87,64.29,0,12297,332020,0,56.23,36,Kansas State University,2009,0
30163,Henrik Norlander,Sweden,-0.781,-14.702,-29.784,57,-7.492,-5.034,0.303,-0.523,-29.784,291.9,62.84,1.641,4956175.0,70.76,67.7,0,21897,569329,0,62.1,36,Augusta University,2011,0
35901,Paul Haley II,United States,-0.784,-39.704,-8.894,62,-23.829,-25.914,3.188,-0.143,-8.894,283.7,57.62,1.613,810973.0,71.18,64.03,0,25447,737968,1,63.58,35,Georgia Tech,2011,0
52372,Cameron Champ,United States,-0.801,-15.964,-20.894,46,19.268,-10.612,-32.108,-0.454,-20.894,316.1,51.53,1.677,7804287.0,71.23,67.66,0,30921,711173,2,59.4,28,Texas A&M University,2017,0
46435,Austin Cook,United States,-0.816,-23.302,-13.417,45,-29.995,-9.655,14.645,-0.298,-13.417,283.5,64.08,1.591,6071474.0,71.05,63.59,0,11377,307171,0,63.55,32,University of Arkansas,2014,0
31560,Brian Stuard,United States,-0.832,-43.998,8.204,43,-46.648,-9.981,6.789,0.191,8.204,272.7,60.75,1.576,12070110.0,71.39,61.01,0,10703,246172,0,61.68,40,Oakland University,2005,0
52411,Kyle Westmoreland,United States,-0.872,-23.433,-19.314,49,9.732,-16.994,-8.559,-0.394,-19.314,313.5,53.06,1.661,284858.0,71.44,65.43,0,10079,262044,0,47.3,31,United States Air Force Academy,2017,0
40006,Erik van Rooyen,South Africa,-0.874,-29.778,-8.683,44,1.535,-7.773,-17.638,-0.197,-8.683,304.0,52.59,1.63,4644967.0,70.97,65.41,0,29944,748601,3,56.48,33,University of Minnesota,2013,0
35879,Kelly Kraft,United States,-0.89,-69.732,18.089,58,-17.249,-34.936,-17.668,0.312,18.089,285.7,57.89,1.598,5654435.0,71.18,63.22,0,12574,326924,0,63.65,34,Southern Methodist University,2012,0
27554,Scott Harrington,United States,-0.908,-8.334,-33.419,46,7.028,-14.509,-7.693,-0.726,-33.419,308.3,55.3,1.643,1567104.0,71.19,65.63,0,8789,219731,0,54.43,42,Northwestern University,2003,0
58967,Trevor Werbylo,United States,-0.953,-46.259,-0.425,49,-9.051,-36.775,4.153,-0.009,-0.425,304.1,58.37,1.605,282962.0,71.34,63.35,0,11006,275155,0,50.74,25,University of Arizona,2021,0
51349,Nico Echavarria,Colombia,-0.973,-39.951,-6.758,48,-3.952,-19.932,-14.173,-0.141,-6.758,301.0,57.35,1.612,951627.0,71.21,63.44,1,36601,951627,1,58.41,29,University of Arkansas,2017,1
33408,Tyson Alexander,United States,-0.981,-47.322,-12.513,61,-22.735,-22.434,4.129,-0.205,-12.513,299.2,56.8,1.614,1200036.0,71.12,63.48,0,42858,1200036,1,51.14,35,University of Florida,2010,0
34610,Matthias Schwab,Austria,-1.079,-49.262,-26.263,70,-24.778,-29.85,16.338,-0.375,-26.263,293.8,58.39,1.614,1844893.0,71.14,63.4,0,19948,618400,2,59.56,28,Vanderbilt University,2017,0
28420,Ryan Brehm,United States,-1.091,-81.123,13.511,62,-21.07,-29.177,-27.66,0.218,13.511,309.2,53.89,1.635,2144175.0,71.78,63.36,0,18198,527745,0,47.41,37,Michigan State University,2008,0
33597,Harry Higgs,United States,-1.157,-70.127,14.57,48,-20.913,-42.492,0.061,0.304,14.57,302.8,57.27,1.557,4599556.0,70.82,64.05,0,27375,684386,1,51.66,31,Southern Methodist University,2014,0
31557,Jim Herman,United States,-1.309,-42.438,-29.581,55,-0.107,-24.413,-17.501,-0.538,-29.581,291.5,54.42,1.671,8582824.0,71.43,67.11,0,14969,344295,0,66.84,45,University of Cincinnati,2000,0
29970,Dylan Frittelli,South Africa,-1.339,-70.492,3.538,50,-29.137,-25.941,0.29,0.071,3.538,303.2,56.66,1.588,6860166.0,71.91,58.94,0,22917,664599,0,45.69,33,University of Texas,2012,0
35617,Martin Trainer,France,-1.366,-36.348,-6.003,31,-13.711,-15.807,-4.216,-0.194,-6.003,303.7,57.0,1.631,1902794.0,71.43,64.54,0,17573,333888,1,50.93,32,University of Southern California,2013,0
32662,Michael Gligic,Canada,-1.401,-48.049,-12.194,43,3.058,-24.412,-18.761,-0.284,-12.194,305.4,54.1,1.646,1662548.0,71.78,63.28,0,5827,151491,0,51.11,33,outside the US,2008,0
51414,Brent Grant,United States,-1.464,-18.17,-49.17,46,35.855,-25.743,-22.179,-1.069,-49.17,310.6,51.39,1.683,374126.0,71.48,66.75,0,13857,374126,1,60.5,27,outside the US,2017,0
49766,Hank Lebioda,United States,-1.482,-37.648,-11.246,33,-16.656,-6.723,-12.334,-0.341,-11.246,298.0,56.46,1.658,3214069.0,71.82,66.67,0,12251,245013,0,57.11,29,Florida State University,2016,0
33410,Andrew Landry,United States,-1.535,-82.588,1.216,53,-12.239,-51.098,-10.942,0.023,1.216,288.8,59.86,1.587,6709677.0,71.62,61.99,0,8823,202939,0,64.28,36,University of Arkansas,2009,0
51950,Max McGreevy,United States,-1.695,-68.788,-27.811,57,-19.316,-51.598,3.154,-0.488,-27.811,289.8,54.82,1.607,1360383.0,71.89,61.33,0,11637,360757,1,58.65,28,University of Oklahoma,2017,0
27095,Nick Watney,United States,-1.72,-80.002,-2.555,48,-65.771,-4.805,-8.505,-0.053,-2.555,297.1,53.72,1.616,29241667.0,72.02,62.63,0,9681,251700,0,47.75,42,Fresno State University,2003,0
51491,Brandon Matthews,United States,-2.019,-35.776,-40.945,38,6.779,-1.24,-34.385,-1.077,-40.945,321.2,50.43,1.647,303300.0,72.07,64.55,0,10220,265711,1,51.39,29,Temple University,2016,0
